product_idx,true_class,true_class_cz,true_distance,rules_class,rules_class_cz,rules_distance,ml_class,ml_class_cz,ml_distance,savings_m
11047,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,shelf_picking,Police,45,0
2591,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,0
25359,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
29596,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
20844,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
6258,floor_block,Bloková zóna,80,floor_block,Bloková zóna,80,floor_block,Bloková zóna,80,0
5356,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
24331,pallet_rack,Paleta,80,pallet_rack,Paleta,80,pallet_rack,Paleta,80,0
15230,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
6562,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
32308,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
12895,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
22220,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,0
9232,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
16298,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,shelf_picking,Police,45,0
12450,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,special_zone,Speciální zóna,45,0
8272,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
6183,front_zone_bin,Přední zóna,15,floor_block,Bloková zóna,80,floor_block,Bloková zóna,80,0
2598,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
3820,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,0
19440,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
22465,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
15113,shelf_picking,Police,45,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
16629,shelf_picking,Police,45,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
1386,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
25758,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
25451,shelf_picking,Police,45,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
1080,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,shelf_picking,Police,45,0
15516,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,shelf_picking,Police,45,0
4989,floor_block,Bloková zóna,80,floor_block,Bloková zóna,80,floor_block,Bloková zóna,80,0
1556,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,0
26467,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,0
18400,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
16713,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,0
27654,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,0
15944,pallet_rack,Paleta,80,pallet_rack,Paleta,80,pallet_rack,Paleta,80,0
30730,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,shelf_picking,Police,45,0
42,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
32576,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,shelf_picking,Police,45,0
22970,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
4925,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
27289,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,0
926,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
19865,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
6679,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
12453,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
29775,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
21267,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
17195,shelf_picking,Police,45,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
7179,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,shelf_picking,Police,45,0
4052,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,shelf_picking,Police,45,0
8104,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,shelf_picking,Police,45,0
1898,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,0
29560,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
18341,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
32687,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
32273,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,shelf_picking,Police,45,0
7479,pallet_rack,Paleta,80,pallet_rack,Paleta,80,pallet_rack,Paleta,80,0
9389,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,0
1478,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
8037,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
26180,floor_block,Bloková zóna,80,floor_block,Bloková zóna,80,floor_block,Bloková zóna,80,0
11271,pallet_rack,Paleta,80,pallet_rack,Paleta,80,pallet_rack,Paleta,80,0
17570,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
17825,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
24725,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
13062,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,shelf_picking,Police,45,0
15537,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
17815,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
3697,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
29988,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,0
7974,floor_block,Bloková zóna,80,floor_block,Bloková zóna,80,floor_block,Bloková zóna,80,0
884,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
11731,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
24310,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
25216,front_zone_bin,Přední zóna,15,floor_block,Bloková zóna,80,floor_block,Bloková zóna,80,0
25467,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
30056,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
24717,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
24329,shelf_picking,Police,45,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
10979,pallet_rack,Paleta,80,pallet_rack,Paleta,80,pallet_rack,Paleta,80,0
16825,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
23245,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,0
24927,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
9839,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
20235,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
13095,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,shelf_picking,Police,45,0
2249,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,0
17979,shelf_picking,Police,45,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
18488,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,0
7590,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
21090,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
13546,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
23537,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
9758,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
5979,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
23366,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
31865,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,0
20846,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,0
26988,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
28197,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
28745,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,shelf_picking,Police,45,0
11325,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
4852,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
22960,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
29884,pallet_rack,Paleta,80,pallet_rack,Paleta,80,pallet_rack,Paleta,80,0
17086,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,0
14206,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
20066,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
27936,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,shelf_picking,Police,45,0
15775,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,0
3923,shelf_picking,Police,45,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
5417,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
16560,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
15673,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
8221,pallet_rack,Paleta,80,pallet_rack,Paleta,80,pallet_rack,Paleta,80,0
30068,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
28459,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
16349,shelf_picking,Police,45,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
21375,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
23373,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
29975,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,0
7092,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
22141,pallet_rack,Paleta,80,pallet_rack,Paleta,80,pallet_rack,Paleta,80,0
15650,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
7321,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
27799,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
8459,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,0
32043,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
3433,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,shelf_picking,Police,45,0
680,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
2906,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
31033,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
31455,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,shelf_picking,Police,45,0
23083,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,0
8257,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
14982,shelf_picking,Police,45,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
18944,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
20103,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
25837,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,0
17425,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,0
6853,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,0
8932,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
12196,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
31772,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,shelf_picking,Police,45,0
21299,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
21839,floor_block,Bloková zóna,80,floor_block,Bloková zóna,80,floor_block,Bloková zóna,80,0
15724,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
25243,shelf_picking,Police,45,shelf_picking,Police,45,special_zone,Speciální zóna,45,0
25879,shelf_picking,Police,45,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
21964,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
9267,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,0
30782,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,0
26857,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
10004,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,shelf_picking,Police,45,0
21805,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
14918,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
20780,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
25702,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,0
21735,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
10319,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
29642,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,0
12668,floor_block,Bloková zóna,80,floor_block,Bloková zóna,80,floor_block,Bloková zóna,80,0
29907,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,0
15063,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
25877,pallet_rack,Paleta,80,pallet_rack,Paleta,80,pallet_rack,Paleta,80,0
29302,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
6407,floor_block,Bloková zóna,80,floor_block,Bloková zóna,80,floor_block,Bloková zóna,80,0
5440,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,shelf_picking,Police,45,0
14842,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
21920,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
15556,front_zone_bin,Přední zóna,15,floor_block,Bloková zóna,80,floor_block,Bloková zóna,80,0
30783,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,0
23426,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,0
7641,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
20859,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
7035,shelf_picking,Police,45,shelf_picking,Police,45,special_zone,Speciální zóna,45,0
4865,pallet_rack,Paleta,80,pallet_rack,Paleta,80,pallet_rack,Paleta,80,0
23614,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
23988,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,0
16454,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
13988,shelf_picking,Police,45,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
2501,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
26837,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
22359,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
24342,floor_block,Bloková zóna,80,floor_block,Bloková zóna,80,floor_block,Bloková zóna,80,0
15963,pallet_rack,Paleta,80,pallet_rack,Paleta,80,pallet_rack,Paleta,80,0
32007,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
20978,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
24884,pallet_rack,Paleta,80,pallet_rack,Paleta,80,pallet_rack,Paleta,80,0
29958,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
13577,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
13935,pallet_rack,Paleta,80,pallet_rack,Paleta,80,pallet_rack,Paleta,80,0
14557,floor_block,Bloková zóna,80,floor_block,Bloková zóna,80,floor_block,Bloková zóna,80,0
29343,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,0
18214,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,0
14413,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
6841,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
25974,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,0
3232,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
13111,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
3791,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
21382,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
19955,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
20134,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
3479,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,0
2977,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
12887,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,0
727,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
24069,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,shelf_picking,Police,45,0
9897,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
13657,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
17583,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,0
21587,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,0
30954,pallet_rack,Paleta,80,pallet_rack,Paleta,80,pallet_rack,Paleta,80,0
28085,shelf_picking,Police,45,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
27947,shelf_picking,Police,45,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
4183,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,0
22800,pallet_rack,Paleta,80,pallet_rack,Paleta,80,pallet_rack,Paleta,80,0
14914,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
14843,shelf_picking,Police,45,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
22552,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
6516,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
13171,pallet_rack,Paleta,80,pallet_rack,Paleta,80,pallet_rack,Paleta,80,0
19015,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,0
10870,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
21025,pallet_rack,Paleta,80,pallet_rack,Paleta,80,pallet_rack,Paleta,80,0
29893,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
6735,pallet_rack,Paleta,80,pallet_rack,Paleta,80,pallet_rack,Paleta,80,0
11022,pallet_rack,Paleta,80,pallet_rack,Paleta,80,pallet_rack,Paleta,80,0
4970,shelf_picking,Police,45,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
1696,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
9473,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,shelf_picking,Police,45,0
13670,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,shelf_picking,Police,45,0
6574,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
1462,front_zone_bin,Přední zóna,15,floor_block,Bloková zóna,80,floor_block,Bloková zóna,80,0
4300,shelf_picking,Police,45,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
26844,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
15378,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,0
16508,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
29171,front_zone_bin,Přední zóna,15,floor_block,Bloková zóna,80,floor_block,Bloková zóna,80,0
11769,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
14739,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
21305,pallet_rack,Paleta,80,pallet_rack,Paleta,80,pallet_rack,Paleta,80,0
7864,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
25076,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
7585,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
5120,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
1992,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,0
14494,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
9114,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,0
22855,shelf_picking,Police,45,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
27665,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
23696,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
29349,floor_block,Bloková zóna,80,floor_block,Bloková zóna,80,floor_block,Bloková zóna,80,0
1207,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
8493,pallet_rack,Paleta,80,pallet_rack,Paleta,80,pallet_rack,Paleta,80,0
11358,shelf_picking,Police,45,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
7482,front_zone_bin,Přední zóna,15,floor_block,Bloková zóna,80,floor_block,Bloková zóna,80,0
17943,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,special_zone,Speciální zóna,45,0
25982,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
31832,pallet_rack,Paleta,80,pallet_rack,Paleta,80,pallet_rack,Paleta,80,0
26662,shelf_picking,Police,45,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
30117,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
10446,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,shelf_picking,Police,45,0
12345,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
15989,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
24309,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
1624,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,shelf_picking,Police,45,0
1940,front_zone_bin,Přední zóna,15,floor_block,Bloková zóna,80,front_zone_bin,Přední zóna,15,65
450,shelf_picking,Police,45,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
4253,shelf_picking,Police,45,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
18185,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
2301,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
10654,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,0
1251,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
26796,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
31114,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
